lang_label,voice_name,voice_gender,voice_id,sample_sentence,sample_voice
Japanese,Miho,neutral,jp_001,これは日本語の例文です。,/audio/jp_001.mp3
Japanese,Keiko,neutral,jp_003,これは日本語の例文です。,/audio/jp_003.mp3
Japanese,Sakura,neutral,jp_005,これは日本語の例文です。,/audio/jp_005.mp3
Japanese,Naoki,neutral,jp_006,これは日本語の例文です。,/audio/jp_006.mp3
Japanese,Morisuke,male,jp_male_osada,これは日本語の例文です。,/audio/jp_male_osada.mp3
Japanese,Matsuo,male,jp_male_matsuo,これは日本語の例文です。,/audio/jp_male_matsuo.mp3
Japanese,Machikoriiita,female,jp_female_machikoriiita,これは日本語の例文です。,/audio/jp_female_machikoriiita.mp3
Japanese,Matsudake,male,jp_male_matsudake,これは日本語の例文です。,/audio/jp_male_matsudake.mp3
Japanese,Shuichiro,male,jp_male_shuichiro,これは日本語の例文です。,/audio/jp_male_shuichiro.mp3
Japanese,Maruyama Rei,female,jp_female_rei,これは日本語の例文です。,/audio/jp_female_rei.mp3
Japanese,Hikakin,male,jp_male_hikakin,これは日本語の例文です。,/audio/jp_male_hikakin.mp3
Japanese,Yagi Saki,female,jp_female_yagishaki,これは日本語の例文です。,/audio/jp_female_yagishaki.mp3
Korean,Korean Male 1,male,kr_002,이것은 한국어 예문입니다.,/audio/kr_002.mp3
Korean,Korean Male 2,male,kr_004,이것은 한국어 예문입니다.,/audio/kr_004.mp3
Korean,Korean Female,female,kr_003,이것은 한국어 예문입니다.,/audio/kr_003.mp3
Portuguese,Julia,neutral,br_003,Esta é uma frase de exemplo em português.,/audio/br_003.mp3
Portuguese,Ana,neutral,br_004,Esta é uma frase de exemplo em português.,/audio/br_004.mp3
Portuguese,Lucas,neutral,br_005,Esta é uma frase de exemplo em português.,/audio/br_005.mp3
Portuguese,Lhays Macedo,female,pt_female_lhays,Esta é uma frase de exemplo em português.,/audio/pt_female_lhays.mp3
Portuguese,Laizza,female,pt_female_laizza,Esta é uma frase de exemplo em português.,/audio/pt_female_laizza.mp3
Portuguese,Optimus Prime (Portuguese),male,pt_male_transformer,Esta é uma frase de exemplo em português.,/audio/pt_male_transformer.mp3
Spanish,Spanish Male,male,es_002,Esta es una oración de ejemplo en español.,/audio/es_002.mp3
Spanish,Julio,male,es_male_m3,Esta es una oración de ejemplo en español.,/audio/es_male_m3.mp3
Spanish,Alejandra,female,es_female_f6,Esta es una oración de ejemplo en español.,/audio/es_female_f6.mp3
Spanish,Mariana,female,es_female_fp1,Esta es una oración de ejemplo en español.,/audio/es_female_fp1.mp3
Spanish,Álex (Warm),neutral,es_mx_002,Esta es una oración de ejemplo en español.,/audio/es_mx_002.mp3
Spanish,Optimus Prime (Mexican),male,es_mx_male_transformer,Esta es una oración de ejemplo en español.,/audio/es_mx_male_transformer.mp3
Spanish,Super Mamá,female,es_mx_female_supermom,Esta es una oración de ejemplo en español.,/audio/es_mx_female_supermom.mp3
